@relation instances

@attribute @class@ {positive,negative}
@attribute @text@ string

@data
negative,'xflyawayx hoy estábamos viendo una peli y ha salido un anuncio escrito coreano y digo eso es coreano y yo como bitches i m fabulous '
positive,'anadpe michiberrocosa y yo a ti jolin cuando vienes a ver si hacemos skype hoy no puedo '
negative,'catanatablanco alddanasolange como me llamo carolina blanco te llego ver mal voy y te lleno de abrazos y besos'
positive,'congresistas jumaherseg de qué hablamos de michoacán '
positive,'colladoabad tengo lo mejr del mundo '
positive,'lolafriends rt tapiastephany ustedes son buenos pero no sirven'
positive,'rmjes tu amor siempre esta '
negative,'aitanaa sanchez a horitas de tener mis '
positive,'erick rivera rt karinaisosa dice el diputado angulo de arena en su intervención en el pleno q ojalá regresara la policía de hacienda juzguen ustedes'
positive,'soldocampo candela y yo no aparecemos en ninguna foto desaparecidas toda la noche '
positive,'catuu perez hola personita al que sigo inserta frase sígueme e holaa ok esta me encanta y cuando parece que todo http t co khbw ctxh'
positive,'luciavillena rt criscaceres supersarcasmo cómo llevas los exámenes http t co jjbzyvpis meljauregui '
negative,'cantarero rubalcaba claro y con el psoe nos fue mejor verdad alfredo que payasos y que falsos sois todos los politicos sacaos el graduado anda '
positive,'studiofchile rt mtachile studiofchile es una de las marcas líderes en colombia y ya esta en chile conócela en el siguiente link http t co dfc '
positive,'deiviidquintero rosell mi familia ha sufrido ataques directos que me han hecho reflexionar en mi tierra he cometido irregularidades en el fichaje de neymar'
negative,'enlavia traficzona de mimiarriaga cola fuerte para subir al hatillo desde la bomba del cied un camión accidentado llegando a la muralla zona fm'
positive,'marcoslopezvazq heleenadiaaz uu matale a ver si te va a hacer pupita que no estoy alli para salvarte jajaja'
positive,'rooequisde quiero una moto '
positive,'cambustamante agusvera siempre te cruzo asi nomas mal ahi jaja'
positive,'bache rt matiildaxd voy a prender el calefón con un billete de antes de que pierda todo su valor '
negative,'mileyrockit rt damehijosbiebas hmybiebss justin me miró y me dijo no dejes que eso me pase a mi scooter dejaste que le pasará eso y más '
positive,'maripg alexgonzalezact yo tb estoy deseando verlo en el programa aparte de guapo es simpatiquisimo '
negative,'cordobaj el que todo desea con nada se queda'
positive,'jefersomx el psoe acusa al gobierno de amordazar al consejo de participación de la mujer la secretaria de igualdad de http t co rufkngxzi '
positive,'ariahoranmofos sígueme y te sigo sígueme y te sigo sígueme y te sigo solo fandoms pide fback rt'
positive,'daneldesorden rt humbertozion jueves elbaño jamaican party música de djvenanzion daneldesorden pm buena vibra garantizada'
positive,'loveswiftcyrus rt tayftswiftie sí algún día viajo a nashville ese día sabré que he hecho algo muy bueno en esta vida '
negative,'dblackout comenzo maduro con su cursito de historia contemporanea online '
positive,'pilar viso rt controladores fofes me encanta esta foto bintercanarias islascanarias helice emerg controladores http t co v dmhpuub mu '
positive,'riportaminvita rt minajftmiley sigueme y te sigo'
positive,'jaranda dalvismiguel si hay cosas en la que no estoy de acuerdo pero debemos seguir adelante '
positive,'samubarreiro rt guillermoparga lo suscribo via as maroto dimite sólo por la admisión de una demanda muchos otros no lo hacen ni imputados ni co '
positive,'nereagb jesusprietojuan pues si suspenderá te quedas sin el gusta de entregarme que has aprobado'
positive,'alanavargaas deve de ser'
positive,'maggie rt curiososabias nunca le hablo a su esposo de su cirugía y el la demandó porque sus hijos le salieron feos y ganó el juicio china ht '
positive,'faupar anotece ni justin bieber al caer detenido en eeuu deja d vestir el uniforme naranja aunque sea por horas y aqui se burlan d la justicia'
positive,'yowii mara m de eneroo y comiendo un cremoso helado o quizás dos yowii bien ricos he de añadir jajajaja'
positive,'albertisasi enelaireab y sandro se ha ido sin decir bendiciones y buenas noches '
negative,'floo campos roomilks jajajajja bueno graciaas ue '
positive,'pjrada tobi sbemyangel handjoints de ellos se habló en su momento ahora el que esta en problemas es justin y se habla de el '
positive,'vivalamayo use or lose http t co j t domf via youtube'
positive,'michcamargo sencillez para el triunfo y valor para el fracaso '
positive,'gmmaleja rt teamlatinjustin ingenuas las que creyeron que el iba a ser el año mas dificil para justin y sus beliebers los dias del h '
positive,'danemebe dia perfecto para escuchar latemperatura de maluma ft elipalacios en tropicucuta gracias '
positive,'mirandalove eytusiitu si tú me sigues yo te seguiré en menos de h rt'
positive,'corneliosfc laurafranco sin luces se ven las estrellas http t co jcra czvq '
positive,'edubrigante uuyy diego'
positive,'justeenswag d las directioners son un gran fandom siempre apoyando a los demas son admirables gracias por apoyarnos por lo de justin staystrongjustin'
negative,'tiscarmascaraqu rt mariarubioperez porque hoy es hoy frasedeldia http t co btoglhysne'
positive,'jesussanchez carlitosvaquer muak'
positive,'lolafmradio rt kaski lolafmradio poned la canción de todos los besos de sergio contreras graciass'
positive,'silviacasola rt fotlipou eleccions en cas de dubte eleccions '
negative,'palawey para ser feliz debes aprender a ignorar muchas cosas'
positive,'juliangz si le da broca lo que creo que es es alta tarada'
positive,'aaronalleyne que cabriazon '
positive,'alwaysrobstener la gente es demasiado crítica y yo no soy lo suficientemente fuerte nadie vive mi vida nadie llora mis lagrimas kristen duele '
positive,'luhuici llegar a casa dsp del laburoo horas y horas en tacos tiralos y pisar el pasto del patio amen quierogalaxys mini'
negative,'luisacamacho miguelforero que bobo jajajaja '
positive,'juditriosl último esfuerzo '
positive,'mnogracias los títulos que ganó el barça durante la era de rosell como presidente sefuerosell http t co dznbji uf '
positive,'carrilloangel justinbieber tus beliebers siempre estaremos contigo iloveujustin'
positive,'maaruniiana ni que sauna la ciudad asco '
positive,'carmona lorenzo ander herrera en dos añitos va a ser de los mejores del mundo hay queda '
positive,'lanegrateran rt albertoravell el chiste del dia rafael ramirez medidas economicas no aumentaran nada '
positive,'pelisycine cine en el salón el club de los cinco jóvenes de los voces universales http t co sv kzmed e'
positive,'josmatiaspea rt jararodrigo justin por que lloras no eches nomas tu jabón apropósito kp http t co vizxw ejib'
positive,'carlatrujillos tegustaría perder mas libras entonces no lo pienses mucho llama al no importa de donde llamas '
positive,'lemonholic quiero guerra '
negative,'panteraangelros megustanlasmujeresqué estan nalgonas y pocas chichis '
positive,'catalanistalh rt josepmanel rod baixa el sentiment espanyolista a l hospitalet del llobregat http t co kxr zmwh z'
negative,'emely almanzar bandidas que tu la ves privando en seria y por abajo haciendo su tortillas'
positive,'gloriajimenezz plas plas plas cómo se aplaude en twitter iloveclicks http t co ltuizuod v laporta rosell luzdegas'
positive,'valeen bazan rt romishawty no se pero yo no hubiera sido tan feliz durante todos estos años gracias a él me quedo hasta el final'
positive,'dauniscat bona nit demà publicarem el guanyador del sorteig sort a tots els participants '
positive,'rrociioo rt rabelvolero sandro rosell pillado a la salida de la rueda de prensa tras anunciar su dimisión http t co l mvprnelf'
positive,'helenagh rt janjan stana rosell justin bieber esta mañana llegué tarde a un entierro http t co vopdzv iei'
positive,'shaary solo quiero ser feliz '
positive,'rmartinfootball buah la lesión de falcao paraliza la cesión de lacina traoré al everton los toffees tendrán que buscar por otro lado '
positive,'elitoisavictim yo creo que al menos una vez a la semana grooaarrg y yo hablamos de comer totos al menos una vez '
negative,'ojoslunazombie el cachetes poderes mágicos http t co xxjf bmge'
positive,'futuremrsmoran rt rp studio rp news bethany mota la adolescente que ha pasado de estrella de youtube a profesional de la moda http t co gcelgu mbq'
positive,'yaiza rt srsance madrugando para estudiar http t co scszibpums'
negative,'mariatorress luisespeluy rociogaldon luis eres una zorra'
positive,'marsalmeron rt dracumal delsur foto http t co wxqdqyevo '
positive,'pedro martinx su puta madre'
positive,'marquitossoto rt bibliadelospi las minas nunca van a tener el placer de bambolear la garcha cuando cantas en la ducha guerradesexos'
positive,'pastorcilloo rt escupotwits tú sabes cantar no pues tu sobaco si '
negative,'eme dos un poco de deporte http t co qmpapyhuw'
positive,'joswabeat teamjoswa atlético athletic en directo el partido de semifinales de esta noche reúne a dos históricos del http t co cwgygfypb'
positive,'drzvidj rt vichardgirl este hombre o es subnormal hipócrita o está orgulloso de lo que ha hecho porque no veo normal que sonria por esto http '
positive,'borjac vavel ojalá victorvaldes anunciando ahora que seguirá en el barça '
positive,'ivanespos soy muy puntual me enojo cuando no lo soy by laliespos en metromedio'
positive,'anaacrujeiras rt videosvinees la realidad de como nos comportamos en épocas de exámenes viviendoallímite https t co wkdj cxfid'
positive,'jazminduarte rt gabriielcardozo te tengo paciencia y confianza porque celoso somos los dos'
positive,'nattcordero el que todo quiere nada tiene '
positive,'villaguer rt ferbelaunzaran en lugar de aparentar q manda fausto vallejo debiera explicar quién y por qué le prestaron palacio de gobierno a la p '
positive,'rodrigotapia isaaeizaga cuee noo ya quisieras'
positive,'testigo rt aristeguionline fotos de gibrán con armas para un video musical productora http t co fgs ax qpr'
positive,'roomaglione rt frasesimple tiempo al tiempo y paciencia a la distancia '
negative,'danjbxs rt justinfthevamps seguime y te sigo '
negative,'solounfideo sencillez y perfección'
positive,'dajbiebercrew rt justinfthevamps seguime y te sigo '
positive,'elculoddemien d rt justinfthevamps seguime y te sigo '
positive,'todopordemetria rt justinfthevamps seguime y te sigo '
positive,'lisbethm bésame por accidente y ámame a propósito '
positive,'djmikesnow rt zaid marie si no cuidas lo tuyo te lo quitan '
positive,'diario sm tigerdirect el gigante de ventas de electrónica ahora permite pagos mediante bitcoin http t co xrhaovkztp socialmedia'
positive,'tobias flow rt foxparatodosla rt colombia espera el milagro que lleve a falcao al mundial de brasil http t co sbwrnsg n fuerzafalcao http '
positive,'didaeldonpi enseñándole al peque el camino a seguir fcbarcelona baby barça ledo http t co dmwscimlx'
negative,'soynadiaasarahi rt solsitobelieber kidrauhl eres humano pero ellas tambien tienen sentimientos justin lo se http t co dq s oyevt'
positive,'huergabrian esta para prenderse uno '
positive,'ferminmendoza las personas cambian muy feamente marico que triste'
positive,'juand rt luzadn cursos de idiomas comunicativos dictados por la facultad de humanidades y educación http t co gpkp ww pv academia'
positive,'rg lengo lamegaquilla aqui relajado con la mas makiia la megaa hoy megajuevesdecotiz'
positive,'ur carmen rt luisrv musica y rayaadas on'
positive,'bolivarcardona alekazapatacart lentaas '
positive,'storesfactory noticias storesfactory http t co nh lndx p\n\nfiled under juegos\n\na simple vista uno podría pensar que el http t co sngyvtjttv'
positive,'majozabala el que se enamora pierde '
negative,'ieviltwin como la creadora de gossip girl oaxaca exijo que el papel de serena lo haga cristian castro y que blair sea lucerito '
positive,'chrisperio si aprueban el aumento del salario mínimo empiezan los despidos trágico'
negative,'gimenezcintia rt nacisingracia te gusta las música me encanta qué opinas de los prisioneros pues que si hicieron algo malo merecen estar '
positive,'refugiolacandel desde esta mañana nuestros veterinarios han estado revisando a todos los animales salidos de mairena http t co k a n ymcn'
positive,'cesarlrf rt armandohoyos hola hermosa\n\n soy rico\n\n perdon es que me andaba fallando el inbox me llamo fernanda y tú rico mucho gus '
negative,'bieberftmahone rt hereforjbieebs estar aquí con tus familiares diciendote que justin es un drogadicto y alcoholico no es nada fácil '
negative,'lgdeantonio lo que sucede cuando una rata se aloja en tu coche http t co in vuqlgd vía autobildspain'
negative,'gonzadinoia no se que me preocupa mas si que suba la temperatura o que suba el dolar desastre'
positive,'franbernalromay uiis diego costa que paradón de iago herrerin '
negative,'javier vela rt elcampocmt opciones para justificar la actividad agraria con la nueva pac http t co fdjpim cj asajavalladolid prensa coag coopag '
positive,'danielito cool korycris no puedo discutir contigo x q no sabs d la vida d mi madre monstruo ya x q la chorizo s perikera crees q todas lo son nunca mas '
positive,'louonedi rt vashappeninseel selenatorsarehereforyoubeliebers yo estoy con ellas aunque algunas hayan insultado a mi ídola necesitan apoyo '
positive,'luuchibonardi rt caa caruso grados en buenos aires los compadezco en serio'
negative,'fox pablo zorritasalas hola hermosa'
positive,'zuriemolona rt blasauryn son los iconos que más uso últimamente jaja http t co if ovcoale'
positive,'yzraeloo rt hell huesos el día que me siga mi mamá en twitter le va dar otra pinche embolia '
positive,'bri lome zuleyka rivera sexy y muy hot esta belleza boricua es envidiada por miles de mujeres gracias a su estilo y http t co tljju fk j'
negative,'hr phany hr taengoo vamos taetae se agarra a su brazo y pone la cabeza en su hombro '
positive,'angelaechapare buena cenicaa para desconectar con la peke http t co dpo gcayd'
positive,'cocaineraider rt jfinfonet seoblabla atencion por qué hay que informarse antes de hacer un curso online con mariarosadiez las razones en http t '
positive,'wilkfre solo son llamadas llamadas que pueden durar más de horas\nllamadas que alegran la noche '
negative,'rorodriiguez ya le jode alguien mas jaja qe rapido che '
negative,'jillrossygomez huele huele a promo d'
positive,'allis re cantinero sírvame una de tequila pa olvidar a ese amor que ya no tengo\n '
positive,'obeldavis el inicio de fb y tw jamas se podran comparar '
positive,'katyax rt unntuiteromas lo malo no es desvelarse lo malo es saber que el motivo de tus desvelos anda cogiendo con otra persona '
negative,'soytwitero a la verga y rosell salió corriendo por el caso de neymar o le picó el culin '
positive,'loversdulcem masradiotoluca hola me encantaria escuchar antes que ver el sol la canción de dulce maría gracias aqves'
negative,'coloflorez estupido horoscopo que la pega'
negative,'aylubanfield rt natucarp aylubanfield con carne cortada a cuchillo mirta pasión '
negative,'lovatic rhay rt instagranzin pego o celular desbloqueio olho pra tela e bloqueio de novo '
positive,'tatis jimega solo quiero escucharlos hasta la muerte'
positive,'tinche rt armakdeodelot el imperio contra todos la guerra secreta de eeuu en países y con planes desestabilizadores en casi todos http t '
positive,'alanispaola asaf torres meten preso a jb por marihuana y no meten presos a todos los marihuaneros de pr '
positive,'aymasaqui treporta ahora resulta que en puerto rico le dicen a j domingo arias no mimito si no el mamaito '
negative,'veroirycallaar feronandocc ha inventado una nueva fragancia olor a pollo asado os la recomiendo love chiqui '
positive,'nachomachuca rt soymargarito aquioras es ejecutao yostin biber espregunta'
positive,'roquinamartinez lloro quiero mi celu yaa lpm'
positive,'pornosotras rt tanbohemio no les pasa que no copian los ejercicios de la pizarra porque son es malandros a mi si yayayayaju '
positive,'lydiagonzalez rt mcarmenberbel y decirte al oído que no te olvides de mi que prefiero la guerra contigo al invierno sin ti '
positive,'yessi quizás el orgullo te haga sentir fuerte pero no feliz ok '
positive,'ivi bralo rt vegetta hombres nostalgicos en defiende la villa parte de http t co hasyfufj b vía youtube'
negative,'brunoogomez mikaeasmiquetes comercial '
positive,'adriianamsh yeamadafaka pues dile a tu gato que gracias y que es adorable '
positive,'elenapizarro te parece pablo fraidias guapo komo pa sali kon el d yo nunca saldria con el porqe es mi ermano xd y si es http t co pdur wmm '
positive,'rigoberl rt charitorojas cadena en homenaje a fabricio ojeda porq para los chavistas no existieron r betancourt j villalba alberto carnevali igles '
positive,'beatrizbug rt luz fraile agus martinez que vergüenza de país y que miedo de fanáticos inútiles que tiran de símbolos para ocultar su ignorancia e '
positive,'marioencisoa seguro q si se construye un shopping costanera desaparecera misteriosamente los titulares de inseguridad de los diarios'
positive,'celadame rt soymargarito esalgo qeu nitu niyo conprendemos'
positive,'sos argentina asdlñasdkasñd omg'
negative,'kiim rt manuacostaok sos feo y nadie te da bola estamosenlamisma'
positive,'elenarodriguez avi sinmas glopimercury joo hace mucho que no me asaltais por la marina '
positive,'ceelromero rt estilojovenes combinación perfecta http t co df z huoiq'
positive,'maurohormaz manu araya jaajja no me gustan los cachos jaja '
positive,'exibivel laadyota pse bora mais tarde '
positive,'florbernardini rt dimeven cuánto tiempo es para siempre a veces sólo un segundo cuánto tiempo es un segundo cuando amas una eternidad '
positive,'viejas buenas seleccionando las mejores fotos para ustedes http t co mou iphvo '
negative,'rebemore valmartinez muchisimas gracias prin tequiero'
negative,'danaloboo rt elcosodelapizza si una mujer te pregunta algo decile la verdad porque las hijas de puta no se como carajos hacen pero siempre saben '
negative,'pocazokease impactante bueno hasta lueguito vecinitos angeldigleria live on http t co ksxbag rfv '
positive,'esmil y etaa palabritaa di que oigan ahora como q eso tiene que ver en la conversacion'
positive,'lucia gaona justinbieber solo no lo dejes ir de tu vida '
positive,'belen moral rt franbreak cuando el pasado te llame no lo atiendas pues no tiene nada nuevo que decirte'
positive,'angela de sousa rt badefa rosell puede ser condenado a ocho años de prisión en brasil '
positive,'daaminewells rt unflacoyunamina dechiquito me quejaba porque me mandaban a dormir ahora lo que me jode es que me despierten '
negative,'saraabrahamer pequeño igual me llevan a mieresgiraam marzo iré desde bilbao a verrte abrahammateomus lt '
negative,'msdulce ahora también estrella en dorado lt símbolo de la paz estrella y calavera gt lasonrisamasdulce http t co tkrpzs khv'
positive,'eli cevedo valeibarraq loca por el '
positive,'giilbertohd huawei invirtió millones en compras en europa durante huawei proveedor líder global de soluciones http t co fkveegw c '
positive,'xflyawayx es que uno me ha preguntado que por qué lo sabía y yo pues canción idiomas y eso '
positive,'aprendoconmichu mallorquin manumen michuoviedo tio estas empanado de verdad '
positive,'lararodriguezh luis es un fetito bolita espiral '
positive,'juanafarinelli comparto la habitacion con sistu y obvio que mañana la voy a tener que sacar de la cama de los pelos para que se levante'
positive,'mrgreyoficial hola amorcito eres el espécimen más desagradable sobre todo el planeta tierra y sus alrededores http t co onx xu mh'
positive,'reseneka a cas nuevamayoriacom españa crónica de una subestimación panamá y sacyr por alberto vila reseneka http t co we mejgtsn'
negative,'pablogarcia snapchat pablogarcia '
positive,'mairaa rt elcosodelapizza tipica era abrir el palito de la selva ponerte el caramelo en la boca y leer lo que decia en el papel con la boca lle '
positive,'lierarmenta rt guillermopadres formalizamos david korenfeld y sonorenses convenio que da certeza del agua a comunidad yaqui y a hermosillenses http '
positive,'eveleal tay figueroa y si ni estas '
negative,'scarsfall mdejhonatan creo que si hay que estar pendientes'
positive,'brisaaylen aluqitas acá con brisaa lt '
negative,'horanzone vinte e seis artistadoseculo one direction'
positive,'covermty hoy mty obra por que los hombres aman a las mujeres cabronas enrique bunbury en concierto obra el criado malcriado http t co qsg fe tam'
positive,'flakiittoh rt ismeralmonte todo el tiempo te extrañe x'
positive,'lisshior rt bemynightingle detrás de esa sonrisa hay un chico que esta hecho mierda y que sólo quiere que lo dejen en paz http t co ks odvylre'
positive,'jazztel es nuevebits hola adrián estamos a tu disposición por esta vía para ayudarte puedes remitirnos nombre nif del titular por dm y revisamos '
positive,'boogiegirl rt portgasdar por qué no tengo a este hombre en mi cocina por qué http t co enlyekazgo'
positive,'no a pinera el desconocido rol de universidad católica en el recién filtrado fallo de la haya conforme se acerca el día http t co rfeghqp le'
positive,'andrea tx lucia estudia naturales y asi te animas seguro'
positive,'leocabralsabale juanmavelas aca va el postre del chori uruguayo http t co xaybgemcoa'
positive,'aguscantonati rt zodiacohoy escorpión hoy vas a tener una prueba muy importante para el futuro de tu relación así que tómate con las cosas con seried '
positive,'eugeniar rt cnnmexdeportes loúltimo sandro rosell renuncia a la presidencia del equipo barcelona http t co gyj zb'
positive,'angienoesta quererte ese fue mi error'
positive,'jhonvlady el psoe acusa al gobierno de amordazar al consejo de participación de la mujer http t co pqqea vsbq'
negative,'tomicosta manuchava dalee justo te iba a hablar por eso'
positive,'raine si todo el mundo recoge las cacas de su perro entonces de qué esta el suelo lleno de muffins de chocolate '
positive,'maguiriot rt mancoenfurecid esto es jugar a pokémon y lo demás es tonteria http t co uj tj tsds'
negative,'daianamuriel connieansaldi mi mini placer es estar sin trabajo no tendre ni un peso pero puedo disfrutar a mil de la playaa quierogalaxys mini'
positive,'karenxitaniebla rt ayparfavar quiere quedar bien con todos y al final no queda bien con nadie ay par favar '
positive,'pacoruizrojas rt juan calatayud tiempo d la concentración en estepona http t co ftcsxze m'
positive,'pacohortado coca cola la chispa de la puta vida marcaespaña http t co czmntpxyb '
positive,'martitamontero que linda es la peqeña http t co x utztaque'
negative,'anashla mas bien que la pase http t co hdkgki uig'
positive,'mangelxrubius la verdad prefiero haber visto justin bieber en la cárcel por conducir ebrio a justin bieber muerto en accidente de coche '
negative,'endyliana soy como la lluvia que baja por tu cara llego hacia tu boca palabras no me tocan yo quiero más calor yo quiero más y más y más'
positive,'jessblancoidk inyoubieber aprendí a sonreír incluso con los ojos llenos de lágrimas justin\n freebizzle http t co j i jdh vc no puedo '
positive,'eldiosmerengue florentino pérez el fichaje de neymar nos salía por más de millones de euros '
positive,'braynerrosario he dado la cara por gente a la que ahora se la he querido partir '
positive,'americanasoyyo un choladosky xdd pa este calorsosky ccx'
positive,'madridmollet nuevo cantico putabarsa ay rosell ay rosell\nque delgado se te be\ndijiste que eran pero han sido mas de '
positive,'seaburremucho chicos si sois mis novios tendréis suerte porque yo no seré de las que os roba comida y no pide postre pero luego os coge '
positive,'miigueldenda rt kebabturan casi marca diego costa tras un gran tiro que parada '
positive,'luzandreameja ten cuidado de nuna erir los sentimientos de las personas que estan cerca de ti porque nunca sabras cuando necesitaras su ayuda '
positive,'bizzleftuandi justin apoya a scooter cuando lo arrestaron y ahora que le paso a justin que putas paso con scooter '
positive,'mariagianzo luciaq indignasión a ver que hago yo ahora si no se hacer casi nas '
positive,'elenasoria tal vez no le caiga bien a todo el mundo pero no finjo ser una persona que no soy http t co wqd ebr ws'
negative,'mencaccipierre k o'
positive,'patriciacarra publiqué una nueva foto en facebook http t co ydqe jmxv'
negative,'marquezalba rt hardcorcon sandro rosell siente envidia de julián villena y deja el cargo un día después que el ya ex presidente del alcorcón '
positive,'lucia zujeros amandadela felicidades guapaa lucia zujeros que disfrutes tus muchas gracias amandii un beso guapa '
positive,'mornaurora que difícil me lo pones dices cosas tan brillantes http t co kdliyjndnj'
negative,'zanpanman 残飯ゆとり晒し ｗ　 mayuodajima 秋のうららの 小田島まゆ eg exic　 http t co xbvradd a '
positive,'i arrepios lrt'
negative,'biberporn rt justinvejoso ele estava la quando o scooter precisou cade o scooter la quando ele precisa http t co vrrkgqxcj'
positive,'verdeslanzarote marruecos recibirá una delegación de la confederación de los verdes en las jornadas de http t co qopvggmjco'
negative,'nicks no llegar a tener ciertas cosas no te vendas así nomás que a la larga o a la corta vas a terminar en la nada '
positive,'mane rt moedetriana rosell deja el palco para sentarse en el banquillo jajajajajajaj'
positive,'mariomorahuerta ay abuela '
positive,'agustinn m esta noche me subo al escenario ya fue'
positive,'stefaniaddn rt juezcentral foto gigantes los futbolistas del atlético enviándole fuerzas al tigre falcao http t co bygowykwce'
negative,'ale pacheco un george clooney muy sencillo degusta comida italiana y vino de la tierra en valencia europa http t co rtetldcad ale pacheco'
positive,'noticierovial rt minpptt atención gt gt el plan de vialidad prevé rehabilitación de puentes en todo el país correo del orinoco http t co mm '
negative,'edif virgy rt diasasaigonados la conciencia se construye a través de la experiencia práctica y no de la ideología '
positive,'unacelosaes rt octaranda vírgenes hablando de sexo putas hablando de amor y justin bieber sin recapacitar y en la cárcel http t co kxleneka r'
negative,'katsmilerbieber rt gomezftbieber justin tú salvaste millones de vidas no destruyas la tuya '
positive,'celia am siempre existira esa persona que te eche un cable '
negative,'sdelcolchon que agarraron al mariachi dicen pero quien chingados a visto su foto no mamen al rato lo sueltan en garibaldi'
positive,'laury maridellpergolo laury gracias laury me alegro besos aquí te va y olé http t co nwa q dwtu para mí gracias '
negative,'unaidiez paradón de iago herrerín athlive'
negative,'annaalvaraado resentida nivel no te quiero ver en mi vida '
positive,'naatilpda rt elkaiser la unica manera de bajar la temperatura es que riquelme y el monumental se fusionen en riquelmental '
negative,'natisegoviaa despues se queja '
negative,'noestoessel ffuckhran bieberxic esto lo superaremos todoos juntos vamos justinn '
positive,'franmonroy a ensayar con los números uno '
positive,'tu alucinas rt pennybertha fiesta en apoyo a danny lobo de cavernarios presospolíticoslibertad danielpalacioslibre labandapalabanda http t co a '
negative,'mvetajasm rt zodiacohoy tauro hoy reacciona y date cuenta que muchas cosas que creías no son ciertas y no por eso debes de echar todo por la borda '
negative,'elsistema la batuta del peruano espartaco lavalle conducirá a la ossbv http t co co yo uj'
positive,'futbol infos josep maria bartomeu nuevo presidente del fc barcelona hasta http t co t uilbyroe'
positive,'breadaniel felixvictorino ignorancia ha la vida y después nos preguntamos por que el mundo esta como esta '
positive,'xbradfordboy enfin pobre justin pero esta vez se a pasado '
